id,ticker,stonk
1,AAL,American Airlines Group Inc. Common Stock
2,AAON,AAON Inc. Common Stock
3,AAPL,Apple Inc. Common Stock
4,AAWW,Atlas Air Worldwide Holdings NEW Common Stock
5,ABCB,Ameris Bancorp Common Stock
6,ABCL,AbCellera Biologics Inc. Common Shares
7,ABCM,Abcam plc American Depositary Shares
8,ABMD,ABIOMED Inc. Common Stock
9,ABNB,Airbnb Inc. Class A Common Stock
10,ACAD,ACADIA Pharmaceuticals Inc. Common Stock
11,ACGL,Arch Capital Group Ltd. Common Stock
12,ACHC,Acadia Healthcare Company Inc. Common Stock
13,ACIW,ACI Worldwide Inc. Common Stock
14,ACT,Enact Holdings Inc. Common Stock
15,ADBE,Adobe Inc. Common Stock
16,ADI,Analog Devices Inc. Common Stock
17,ADP,Automatic Data Processing Inc. Common Stock
18,ADPT,Adaptive Biotechnologies Corporation Common Stock
19,ADSK,Autodesk Inc. Common Stock
20,ADV,Advantage Solutions Inc. Class A Common Stock
21,AEIS,Advanced Energy Industries Inc. Common Stock
22,AEP,American Electric Power Company Inc. Common Stock
23,AFRM,Affirm Holdings Inc. Class A Common Stock
24,AGNC,AGNC Investment Corp. Common Stock
25,AHCO,AdaptHealth Corp. Common Stock
26,AIMC,Altra Industrial Motion Corp. Common Stock
27,AKAM,Akamai Technologies Inc. Common Stock
28,ALGM,Allegro MicroSystems Inc. Common Stock
29,ALGN,Align Technology Inc. Common Stock
30,ALGT,Allegiant Travel Company Common Stock
31,ALKS,Alkermes plc Ordinary Shares
32,ALNY,Alnylam Pharmaceuticals Inc. Common Stock
33,ALRM,Alarm.com Holdings Inc. Common Stock
34,ALTR,Altair Engineering Inc. Class A Common Stock
35,AMAT,Applied Materials Inc. Common Stock
36,AMBA,Ambarella Inc. Ordinary Shares
37,AMD,Advanced Micro Devices Inc. Common Stock
38,AMED,Amedisys Inc Common Stock
39,AMEH,Apollo Medical Holdings Inc. Common Stock
40,AMGN,Amgen Inc. Common Stock
41,AMKR,Amkor Technology Inc. Common Stock
42,AMPL,Amplitude Inc. Class A Common Stock
43,AMZN,Amazon.com Inc. Common Stock
44,ANAT,American National Group Inc. Common Stock
45,ANGI,Angi Inc. Class A Common Stock
46,ANSS,ANSYS Inc. Common Stock
47,APA,APA Corporation Common Stock
48,APLS,Apellis Pharmaceuticals Inc. Common Stock
49,APP,Applovin Corporation Class A Common Stock
50,APPF,AppFolio Inc. Class A Common Stock
51,APPN,Appian Corporation Class A Common Stock
52,APPS,Digital Turbine Inc. Common Stock
53,ARCB,ArcBest Corporation Common Stock
54,ARCC,Ares Capital Corporation Common Stock
55,ARGX,argenx SE American Depositary Shares
56,ARNA,Arena Pharmaceuticals Inc. Common Stock
57,ARVL,Arrival Ordinary Shares
58,ARVN,Arvinas Inc. Common Stock
59,ARWR,Arrowhead Pharmaceuticals Inc. Common Stock
60,ASML,ASML Holding N.V. New York Registry Shares
61,ASND,Ascendis Pharma A/S American Depositary Shares
62,ASO,Academy Sports and Outdoors Inc. Common Stock
63,ATRC,AtriCure Inc. Common Stock
64,ATVI,Activision Blizzard Inc. Common Stock
65,AUB,Atlantic Union Bankshares Corporation Common Stock
66,AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares
67,AUR,Aurora Innovation Inc. Class A Common Stock
68,AVGO,Broadcom Inc. Common Stock
69,AVT,Avnet Inc. Common Stock
70,AXNX,Axonics Inc. Common Stock
71,AXON,Axon Enterprise Inc. Common Stock
72,AY,Atlantica Sustainable Infrastructure plc Ordinary Shares
73,AZN,AstraZeneca PLC American Depositary Shares
74,AZPN,Aspen Technology Inc. Common Stock
75,AZTA,Azenta Inc.
76,BANF,BancFirst Corporation Common Stock
77,BANR,Banner Corporation Common Stock
78,BCPC,Balchem Corporation Common Stock
79,BCRX,BioCryst Pharmaceuticals Inc. Common Stock
80,BEAM,Beam Therapeutics Inc. Common Stock
81,BECN,Beacon Roofing Supply Inc. Common Stock
82,BGNE,BeiGene Ltd. American Depositary Shares
83,BHF,Brighthouse Financial Inc. Common Stock
84,BIDU,Baidu Inc. ADS
85,BIGC,BigCommerce Holdings Inc. Series 1 Common Stock
86,BIIB,Biogen Inc. Common Stock
87,BILI,Bilibili Inc. American Depositary Shares
88,BKNG,Booking Holdings Inc. Common Stock
89,BKR,Baker Hughes Company Class A Common Stock
90,BL,BlackLine Inc. Common Stock
91,BLDP,Ballard Power Systems Inc. Common Shares
92,BLKB,Blackbaud Inc. Common Stock
93,BMBL,Bumble Inc. Class A Common Stock
94,BMRN,BioMarin Pharmaceutical Inc. Common Stock
95,BNTX,BioNTech SE American Depositary Share
96,BOKF,BOK Financial Corporation Common Stock
97,BPMC,Blueprint Medicines Corporation Common Stock
98,BPOP,Popular Inc. Common Stock
99,BRKR,Bruker Corporation Common Stock
100,BRZE,Braze Inc. Class A Common Stock
101,BSY,Bentley Systems Incorporated Class B Common Stock
102,BYND,Beyond Meat Inc. Common Stock
103,BZ,KANZHUN LIMITED American Depository Shares
104,CACC,Credit Acceptance Corporation Common Stock
105,CAR,Avis Budget Group Inc. Common Stock
106,CARG,CarGurus Inc. Class A Common Stock 
107,CASY,Casey's General Stores Inc. Common Stock
108,CATY,Cathay General Bancorp Common Stock
109,CBRL,Cracker Barrel Old Country Store Inc Common Stock
110,CBSH,Commerce Bancshares Inc. Common Stock
111,CCEP,Coca-Cola Europacific Partners plc Ordinary Shares
112,CCMP,CMC Materials Inc. Common Stock
113,CCOI,Cogent Communications Holdings Inc.
114,CDEV,Centennial Resource Development Inc. Class A Common Stock
115,CDK,CDK Global Inc. Common Stock
116,CDLX,Cardlytics Inc. Common Stock
117,CDNA,CareDx Inc. Common Stock
118,CDNS,Cadence Design Systems Inc. Common Stock
119,CDW,CDW Corporation Common Stock
120,CEGVV,Constellation Energy Corporation Common Stock When-Issued
121,CELH,Celsius Holdings Inc. Common Stock
122,CENT,Central Garden & Pet Company Common Stock
123,CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting
124,CERE,Cerevel Therapeutics Holdings Inc. Common Stock
125,CERN,Cerner Corporation Common Stock
126,CERT,Certara Inc. Common Stock
127,CFLT,Confluent Inc. Class A Common Stock
128,CG,The Carlyle Group Inc. Common Stock
129,CGC,Canopy Growth Corporation Common Shares
130,CGNX,Cognex Corporation Common Stock
131,CHDN,Churchill Downs Incorporated Common Stock
132,CHK,Chesapeake Energy Corporation Common Stock
